"Use of health care services|Hospital admissions by some diagnoses|Diseases of the eye and adnexa";"admissions per 10 000 of the population";".";".";".";"32.2";"15.4";"4.9";"2.3";"1.7";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Diseases of the ear and mastoid process";"admissions per 10 000 of the population";".";".";".";"9.3";"6.3";"6.6";"4.6";"3.5";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Diseases of the circulatory system|Total dis. of the circulatory system";"admissions per 10 000 of the population";".";".";".";"138.4";"137.7";"169.0";"129.6";"118.1";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Diseases of the circulatory system|Angina pectoris";"admissions per 10 000 of the population";".";".";".";"21.0";"20.7";"20.6";"5.5";"4.7";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Diseases of the circulatory system|Acute myocardial infarction";"admissions per 10 000 of the population";".";".";".";"19.5";"16.1";"15.9";"19.3";"18.6";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Diseases of the circulatory system|Conduction disord. and card. disrhythm.";"admissions per 10 000 of the population";".";".";".";"11.7";"17.9";"37.7";"22.4";"19.7";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Diseases of the circulatory system|Heart failure";"admissions per 10 000 of the population";".";".";".";"15.8";"14.8";"17.9";"17.6";"15.8";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Diseases of the circulatory system|Cerebrovascular diseases";"admissions per 10 000 of the population";".";".";".";"14.8";"16.3";"20.8";"23.7";"23.4";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Diseases of the respiratory system|Total dis. of the respiratory system";"admissions per 10 000 of the population";".";".";".";"68.4";"63.5";"78.4";"71.9";"45.8";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Diseases of the respiratory system|Acute upper respirat. inf. & influenza";"admissions per 10 000 of the population";".";".";".";"2.9";"3.7";"6.2";"8.4";"4.8";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Diseases of the respiratory system|Pneumonia";"admissions per 10 000 of the population";".";".";".";"7.9";"11.7";"21.2";"19.4";"12.3";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Diseases of the respiratory system|Chronic dis. of tonsils and adenoids";"admissions per 10 000 of the population";".";".";".";"13.4";"9.4";"8.1";"3.2";"1.7";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Diseases of the respiratory system|Other dis. of upper respiratory tract";"admissions per 10 000 of the population";".";".";".";"18.2";"12.7";"11.1";"3.8";"2.3";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Diseases of the respiratory system|Chron. pulmonary dis. and bronchiect.";"admissions per 10 000 of the population";".";".";".";"13.4";"12.6";"13.6";"19.1";"12.0";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Diseases of the digestive system|Total diseases of the digestive system";"admissions per 10 000 of the population";".";".";".";"85.0";"82.2";"99.9";"81.3";"72.1";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Diseases of the digestive system|Diseases of appendix";"admissions per 10 000 of the population";".";".";".";"10.7";"9.5";"9.9";"9.5";"9.7";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Diseases of the digestive system|Inguinal hernia";"admissions per 10 000 of the population";".";".";".";"15.5";"12.1";"5.2";"2.3";"1.9";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Diseases of the digestive system|Cholelithiasis";"admissions per 10 000 of the population";".";".";".";"9.9";"12.6";"16.7";"12.0";"10.1";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Diseases of skin and subcutaneous tissue";"admissions per 10 000 of the population";".";".";".";"12.5";"9.2";"10.1";"7.8";"6.3";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Dis. of musculoskeletal system..|Total dis. of musculoskel. system...";"admissions per 10 000 of the population";".";".";".";"99.7";"64.4";"87.2";"64.2";"48.9";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Dis. of musculoskeletal system..|Coxarthrosis";"admissions per 10 000 of the population";".";".";".";"7.4";"10.6";"15.0";"14.6";"11.1";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Dis. of musculoskeletal system..|Gonarthrosis";"admissions per 10 000 of the population";".";".";".";"3.6";"5.8";"13.3";"14.7";"10.7";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Dis. of musculoskeletal system..|Intervertebral disc disorders";"admissions per 10 000 of the population";".";".";".";"20.0";"9.4";"9.4";"5.3";"4.3";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Dis. of musculoskeletal system..|Soft tissue disorders";"admissions per 10 000 of the population";".";".";".";"11.7";"8.5";"12.3";"4.8";"3.5";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Diseases of the genitourinary system|Total dis. of genitourinary system";"admissions per 10 000 of the population";".";".";".";"67.6";"46.4";"62.3";"54.1";"44.7";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Diseases of the genitourinary system|Urolithiasis";"admissions per 10 000 of the population";".";".";".";"5.8";"3.9";"7.3";"7.9";"6.7";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Diseases of the genitourinary system|Hyperplasia of prostate";"admissions per 10 000 of the population";".";".";".";"8.8";"5.4";"6.0";"4.9";"3.8";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Diseases of the genitourinary system|Disorders of breast";"admissions per 10 000 of the population";".";".";".";"6.3";"5.6";"3.8";"2.5";"1.6";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Pregnancy, childbirth and puerperium|Total pregnancy, childbirth, puerperium";"admissions per 10 000 of the population";".";".";".";"84.7";"85.9";"105.9";"69.0";"65.3";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Pregnancy, childbirth and puerperium|Compl. of pregnancy, antenatal period";"admissions per 10 000 of the population";".";".";".";"54.6";"59.1";"71.9";"37.5";"36.1";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Pregnancy, childbirth and puerperium|Compl. of pregnancy, labour and delivery";"admissions per 10 000 of the population";".";".";".";"14.7";"16.9";"21.4";"20.8";"16.4";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Certain conditions in perinatal period|Total conditions in the perinatal period";"admissions per 10 000 of the population";".";".";".";"35.5";"43.0";"48.8";"45.8";"45.2";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Certain conditions in perinatal period|Short gestation and low birth weight";"admissions per 10 000 of the population";".";".";".";"7.3";"8.3";"7.8";"6.4";"6.4";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Congenital anomalies";"admissions per 10 000 of the population";".";".";".";"13.0";"8.8";"8.3";"5.2";"4.7";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Symptoms, signs, laboratory findings|Total symptoms, signs, lab. findings";"admissions per 10 000 of the population";".";".";".";"56.1";"60.4";"124.1";"43.5";"34.6";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Symptoms, signs, laboratory findings|Pain in throat and chest";"admissions per 10 000 of the population";".";".";".";"8.2";"13.3";"36.5";"7.6";"5.8";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Symptoms, signs, laboratory findings|Abdominal and pelvic pain";"admissions per 10 000 of the population";".";".";".";"10.1";"7.9";"12.6";"5.3";"4.0";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Injury, poisoning, other external causes|Total injury, poisoning, oth. ext. cause";"admissions per 10 000 of the population";".";".";".";"72.5";"73.3";"103.8";"82.1";"73.1";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Injury, poisoning, other external causes|Intracranial injury";"admissions per 10 000 of the population";".";".";".";"7.6";"6.5";"10.9";"5.1";"4.7";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Injury, poisoning, other external causes|Fracture of femur";"admissions per 10 000 of the population";".";".";".";"10.6";"11.7";"13.6";"13.3";"13.0";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Injury, poisoning, other external causes|Fracture of lower leg, including ankle";"admissions per 10 000 of the population";".";".";".";"6.6";"6.1";"8.1";"5.3";"4.5";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Injury, poisoning, other external causes|Poisonings by drugs, medicaments etc.";"admissions per 10 000 of the population";".";".";".";"5.9";"6.3";"6.9";"4.4";"4.0";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Injury, poisoning, other external causes|Compl. surg. medical care, n.e.c.";"admissions per 10 000 of the population";".";".";".";"10.4";"15.5";"25.2";"24.6";"20.7";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Factors influencing health status|Total factors influencing health status";"admissions per 10 000 of the population";".";".";".";"73.0";"73.1";"88.8";"30.1";"24.7";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Factors influencing health status|Liveborn infants";"admissions per 10 000 of the population";".";".";".";"33.4";"30.0";"30.0";"8.3";"6.9";".";"."
"Use of health care services|Hospital admissions by some diagnoses|Factors influencing health status|Other care (e.g. radio and chemother.)";"admissions per 10 000 of the population";".";".";".";"7.9";"9.9";"9.7";"1.0";"0.7";".";"."
"Care supply|Quantitative hospital data|Beds";"x 1 000";".";"31.9";"73.1";"64.6";"55.4";"47.3";"38.3";"36.8";".";"."
"Care supply|Quantitative hospital data|Hospital admissions";"x 1 000";".";"344";"1588";"1521";"1470";"1975";"1530";"1343";".";"."
"Care supply|Quantitative hospital data|Nursing days";"x 1 000";".";"8514";"22295";"16305";"12412";"10991";"7956";"7063";".";"."
"Care supply|Quantitative hospital data|Average period of hospitalisation";"days";".";"24.7";"14.0";"10.7";"8.4";"5.6";"5.2";"5.3";".";"."
"Care supply|Health professions|General practitioners (GPs)";"number";"2151";"3164";"5673";"6856";"7710";"9960";"12615";"12875";".";"."
"Care supply|Health professions|Medical specialists";"number";".";".";"9332";"14575";"10575";"16055";"21015";"21610";".";"."
"Care supply|Health professions|Social welfare doctors";"number";".";".";".";".";"2775";"3240";"2585";"2640";".";"."
"Care supply|Health professions|Dentists";"number";"169";"1531";"5688";"7900";"6255";"7840";"9015";"9045";".";"."
"Care supply|Health professions|Pharmacists";"number";"668";"861";"1529";"2247";"2473";"3308";"3720";"3775";".";"."
"Care supply|Health professions|Midwives/obstetricians";"number";"849";"1139";"825";"1119";"1490";"2970";"3910";"4010";".";"."
"Care supply|Expenditures on care|Expenditure in current prices";"mln euro";".";".";"17310";"26658";"45361";"85790";"107429";"115985";"124770";"."
"Care supply|Expenditures on care|Care expenditure volume index";"2015=100";".";".";"40.9";"49.3";"63.4";"94.9";"110.6";"109.3";".";"."
"Care supply|Expenditures on care|Care expenditure per capita";"euro";".";".";"1223";"1783";"2848";"5163";"6194";"6650";"7116";"."
"Care supply|Expenditures on care|Costs as a percentage of the GDP";"%";".";".";"10.6";"10.9";"10.0";"13.4";"13.2";"14.5";"14.5";"."
"Birth and life expectancy|Perinatal mortality";"per 1 000 born children";".";"40.7";"11.1";"9.6";"7.8";"4.8";"4.5";"3.8";".";"."
"Birth and life expectancy|Infant mortality";"per 1 000 live born children";"155.2";"39.1";"8.6";"7.1";"5.1";"3.8";"3.6";"4.3";".";"."
"Birth and life expectancy|Average age of the mother at 1st birth";"year";".";".";"25.6";"27.5";"29.1";"29.4";"30.0";"30.1";"30.3";"."
"Birth and life expectancy|Multiple births";"per 1 000 births";".";".";"10.8";"14.3";"18.2";"16.6";"14.8";"15.4";"14.5";"."
"Birth and life expectancy|Life expectancy at birth|Men";"year";".";".";"72.5";"73.8";"75.5";"78.8";"80.5";"79.7";"79.7";"."
"Birth and life expectancy|Life expectancy at birth|Women";"year";".";".";"79.2";"80.1";"80.6";"82.7";"83.6";"83.1";"83.0";"."
"Birth and life expectancy|Healthy life expectancy at birth|Life expect. in experienced good health|Men";"year";".";".";".";"60.6";"61.5";"63.9";"64.8";"66.4";"65.4";"."
"Birth and life expectancy|Healthy life expectancy at birth|Life expect. in experienced good health|Women";"year";".";".";".";"61.9";"60.9";"63.0";"63.2";"65.8";"65.1";"."
"Birth and life expectancy|Healthy life expectancy at birth|Life expect. without physical limit.|Men";"year";".";".";".";"66.1";"69.2";"70.2";"73.5";"72.8";"73.4";"."
"Birth and life expectancy|Healthy life expectancy at birth|Life expect. without physical limit.|Women";"year";".";".";".";"66.4";"67.8";"69.7";"70.8";"71.8";"72.4";"."
"Birth and life expectancy|Healthy life expectancy at birth|Life expectancy without chronic dis.|Men";"year";".";".";".";"51.4";"48.6";"47.2";"46.2";"45.8";"47.2";"."
"Birth and life expectancy|Healthy life expectancy at birth|Life expectancy without chronic dis.|Women";"year";".";".";".";"48.5";"44.2";"40.6";"41.2";"41.3";"40.5";"."
"Causes of death|All causes of death";"per 100 000 of the average population";"1786.3";"988.0";"807.6";"861.6";"882.4";"818.9";"875.7";"967.1";"974.8";"."
"Causes of death|Infectious and parasitic diseases|Total infectious and parasitic dis.";"per 100 000 of the average population";".";"64.0";"4.4";"7.4";"10.2";"12.7";"19.1";"17.1";"17.0";"."
"Causes of death|Infectious and parasitic diseases|Tuberculosis";"per 100 000 of the average population";"172.0";"43.7";"1.1";"0.9";"0.6";"0.3";"0.1";"0.2";"0.1";"."
"Causes of death|Malignant neoplasms|Total malignant neoplasms";"per 100 000 of the average population";"92.0";"138.2";"216.7";"235.2";"237.0";"254.9";"260.3";"258.6";"257.0";"."
"Causes of death|Malignant neoplasms|Malignant neoplasms of digestive org.";"per 100 000 of the average population";".";"85.6";"67.6";"66.3";"66.2";"77.5";"79.6";"78.8";"78.6";"."
"Causes of death|Malignant neoplasms|Malignant neoplasms respiratory....";"per 100 000 of the average population";".";"8.8";"57.1";"58.7";"55.8";"63.2";"60.7";"59.5";"59.4";"."
"Causes of death|Malignant neoplasms|Malignant neoplasms of breast";"per 100 000 of the average population";".";"11.9";"18.9";"22.2";"21.7";"19.5";"17.7";"17.7";"17.8";"."
"Causes of death|Diseases of the circulatory system|Diseases of the circulatory system";"per 100 000 of the average population";".";"279.8";"362.2";"345.2";"308.9";"234.8";"216.4";"210.0";"213.5";"."
"Causes of death|Diseases of the circulatory system|Ischaemic heart diseases";"per 100 000 of the average population";".";".";"173.4";"149.8";"109.5";"62.5";"47.7";"46.1";"45.9";"."
"Causes of death|Diseases of the circulatory system|Cerebrovascular diseases";"per 100 000 of the average population";".";"79.9";"85.1";"82.9";"76.5";"53.2";"53.7";"50.7";"51.1";"."
"Causes of death|Influenza";"per 100 000 of the average population";".";"17.8";"0.5";"2.1";"2.3";"0.2";"3.1";"1.7";"0.1";"."
"Causes of death|Chronic lower respiratory diseases";"per 100 000 of the average population";".";".";"25.5";"40.5";"42.4";"36.5";"40.2";"33.1";"32.9";"."
"Causes of death|Diseases of the digestive system";"per 100 000 of the average population";".";"41.3";"27.7";"30.9";"33.5";"31.7";"27.0";"28.0";"28.1";"."
"Causes of death|Diseases of the genitourinary system|Total dis. of the genitourinary system";"per 100 000 of the average population";"66.0";"49.9";"17.3";"16.9";"17.6";"20.9";"19.3";"18.6";"20.7";"."
"Causes of death|Diseases of the genitourinary system|Nephritis and nephrotic syndrome";"per 100 000 of the average population";".";"31.4";"2.3";"0.5";"0.2";"0.2";"0.2";"0.1";"0.2";"."
"Causes of death|Pregnancy, childbirth and the puerperium";"per 100 000 of the average population";"9.0";"4.9";"0.1";"0.1";"0.1";"0.0";"0.1";"0.0";"0.0";"."
"Causes of death|Congenital anomalies";"per 100 000 of the average population";".";"14.3";"5.5";"5.0";"3.8";"2.7";"2.9";"2.5";"2.5";"."
"Causes of death|External causes of mortality|Total external causes of mortality";"per 100 000 of the average population";"39.0";"98.5";"43.1";"35.5";"32.5";"34.6";"50.0";"51.8";"52.8";"."
"Causes of death|External causes of mortality|Transport accidents";"per 100 000 of the average population";".";".";"14.6";"9.4";"7.1";"4.3";"3.9";"3.6";"3.5";"."
"Causes of death|External causes of mortality|Accidental falls";"per 100 000 of the average population";".";"5.9";"11.9";"10.6";"10.5";"13.9";"27.2";"30.0";"31.0";"."
"Causes of death|External causes of mortality|Accidental drowning";"per 100 000 of the average population";".";"10.0";"1.0";"0.7";"0.7";"0.5";"0.4";"0.6";"0.5";"."
"Causes of death|External causes of mortality|Suicide";"per 100 000 of the average population";".";"10.8";"10.1";"9.7";"9.4";"9.6";"10.4";"10.5";"10.6";"."
